,text,type
0," THE GOSPEL ACCORDING TO MATTHEW.  I.  BOOK of the generation of Jesus Christ, son of David, son of Abraham. ",selected_bible_verses
1,Abraham begot Isaac; and Isaac begot Jacob; and Jacob begot Judah and his brothers; ,selected_bible_verses
2,"and Judah begot Pharez and Zarah, of Tamar; and Pharez begot Hezron; and Hezron begot Ram; ",selected_bible_verses
3,and Ram begot Amminadab; and Amminadab begot Nahshon; and Nahshon begot Salmon; ,selected_bible_verses
4,"and Salmon begot Boaz, of Rahab; and Boaz begot Obed, of Ruth; and Obed begot Jesse; ",selected_bible_verses
5,"and Jesse begot David the king; and David begot Solomon, of the wife of Uriah; ",selected_bible_verses
6,and Solomon begot Rehoboam; and Rehoboam begot Abijah; and Abijah begot Asa; ,selected_bible_verses
7,and Asa begot Jehoshaphat; and Jehoshaphat begot Joram; and Joram begot Uzziah; ,selected_bible_verses
8,and Uzziah begot Jotham; and Jotham begot Ahaz; and Ahaz begot Hezekiah; ,selected_bible_verses
9,and Hezekiah begot Manasseh; and Manasseh begot Amon; and Amon begot Josiah; ,selected_bible_verses
10,"and Josiah begot Jeconiah and his brothers, at the time of the removal to Babylon. ",selected_bible_verses
11,"And after the removal to Babylon, Jeconiah begot Salathiel; and Salathiel begot Zerubbabel; ",selected_bible_verses
12,and Zerubbabel begot Abiud; and Abiud begot Eliakim; and Eliakim begot Azor; ,selected_bible_verses
13,and Azor begot Zadock; and Zadock begot Achim; and Achim begot Eliud; ,selected_bible_verses
14,and Eliud begot Eleazar; and Eleazar begot Matthan; and Matthan begot Jacob; ,selected_bible_verses
15,"and Jacob begot Joseph the husband of Mary, of whom was born Jesus, who is called Christ.  ",selected_bible_verses
16,"All the generations, therefore, from Abraham unto David are fourteen generations; and from David unto the removal to Babylon, fourteen generations; and from the removal to Babylon unto the Christ, fourteen generations.  ",selected_bible_verses
17,"Now the birth of Jesus Christ was after this manner. His mother Mary having been betrothed to Joseph, before they came together she was found with child by the Holy Spirit. ",selected_bible_verses
18,"But while he thought on these things, behold, an angel of the Lord appeared to him in a dream, saying: Joseph, son of David, fear not to take to thee Mary thy wife; for that which is begotten in her is of the Holy Spirit. ",selected_bible_verses
19,"And she shall bring forth a son, and thou shalt call his name Jesus; for he shall save his people from their sins.  ",selected_bible_verses
20,"And all this has come to pass, that it might be fulfilled which was spoken by the Lord through the prophet, saying:      ",selected_bible_verses
21,"And Joseph, awaking from sleep, did as the angel of the Lord bade him, and took to him his wife; ",selected_bible_verses
22,"saying: Where is he that is born King of the Jews? For we saw his star in the east, and came to do him homage. ",selected_bible_verses
23,"And the king, Herod, hearing it, was troubled, and all Jerusalem with him. ",selected_bible_verses
24,"And having assembled all the chief priests and scribes of the people, he inquired of them where the Christ should be born. ",selected_bible_verses
25,And they said to him: In Bethlehem of Judaea; for thus it is written by the prophet:      ,selected_bible_verses
26,"And thou Bethlehem, land of Judah,     Art by no means least among the princes of Judah;     For out of thee shall come forth a Governor,     Who shall rule my people Israel.  ",selected_bible_verses
27,"Then Herod, having secretly called the wise men, inquired of them exactly the time of the appearing of the star. ",selected_bible_verses
28,"And he sent them to Bethlehem, and said: Go and inquire strictly concerning the child; and when ye have found him, bring me word again, that I also may come and do him homage. ",selected_bible_verses
29,"And they, having heard the king, departed; and lo, the star, which they saw in the east, went before them, till it came and stood over where the child was. ",selected_bible_verses
30,"And seeing the star, they rejoiced with exceeding great joy. ",selected_bible_verses
31,"And coming into the house, they saw the child with Mary his mother, and fell down, and did homage to him; and opening their treasures, they presented to him gifts, gold and frankincense and myrrh. ",selected_bible_verses
32,"And being warned by God in a dream, not to return to Herod, they departed into their own country by another way.  ",selected_bible_verses
33,"And when they had departed, behold, an angel of the Lord appears to Joseph in a dream, saying: Arise, and take the child and his mother, and flee into Egypt, and be there until I bring thee word; for Herod is about to seek the child to destroy him. ",selected_bible_verses
34,"And he arose and took the child and his mother by night and departed into Egypt, ",selected_bible_verses
35,"and was there until the death of Herod; that it might be fulfilled which was spoken by the Lord through the prophet, saying: Out of Egypt I called my son.  ",selected_bible_verses
36,"Then Herod, seeing that he was mocked by the wise men, was exceedingly enraged; and he sent forth, and slew all the male children that were in Bethlehem, and in all its borders, from two years old and under, according to the time which he had exactly learned from the wise men. ",selected_bible_verses
37,"Then was fulfilled that which was spoken through Jeremiah the prophet, saying:      ",selected_bible_verses
38,"But when Herod was dead, behold, an angel of the Lord appears in a dream to Joseph in Egypt, ",selected_bible_verses
39,"saying: Arise, and take the child and his mother, and go into the land of Israel; for they are dead who sought the child's life. ",selected_bible_verses
40,"And he arose, and took the child and his mother, and came into the land of Israel. ",selected_bible_verses
