,text,type
0,translation: righteousness!,khordeh_avesta
1,is the best?,khordeh_avesta
2,good?,khordeh_avesta
3,and it is happiness.,khordeh_avesta
4,happiness is to him who?,khordeh_avesta
5,is righteous!2 for the sake of the best!!,khordeh_avesta
6,righteousness.!,khordeh_avesta
7,translation: just as a king acts according to his will so does the datura dastur by means of righteousness etc acts according to his own will.,khordeh_avesta
8,the gift of you mana i.e.,khordeh_avesta
9,good mind is for those working?,khordeh_avesta
10,for hormazd of this world a he who constitutes himself?,khordeh_avesta
11,to the protector!,khordeh_avesta
12,or the nourisher!,khordeh_avesta
13,of the poor?,khordeh_avesta
14,accepts the sovereign rule of the entire world as it were of hormazd translation: may the satan be defeated and destroyed may the works and workers of ahriman the accursed be destroyed may not works and workers of that accursed ahriman reach me!,khordeh_avesta
15,thirty three holy immortals ameshaspands!,khordeh_avesta
16,and the creator hormazd are victorious!,khordeh_avesta
17,and holy.,khordeh_avesta
18,translation: when any wicked man glares at me for taking revenge or for injuring me what man of mazda shall grant protection unto me and unto my followers who other than?,khordeh_avesta
19,thee shall grant protection to the fire and the mind i.e.,khordeh_avesta
20,household happiness and the peace of mind?,khordeh_avesta
21,through the action!,khordeh_avesta
22,of which two of hormazd a righteousness increases do thou declare that!,khordeh_avesta
23,knowledge of the religion to me of hormazd!.,khordeh_avesta
24,who shall be the smiter of the foe?,khordeh_avesta
25,by the help of thy avestan words which by reciting at the time of calamity are protecting?,khordeh_avesta
26,do thou reveal clearly unto me a wise leader for both the worlds of hormazd.,khordeh_avesta
27,let sasha yamaha approach with good mind or through you mana to any one whom thou doest love.,khordeh_avesta
28,of hormazd and spenta armani protect!,khordeh_avesta
29,us?,khordeh_avesta
30,from the envious ones from here perish thou of devilish drug perish thou of devils spawn a perish thou a of evil sown by the dallas perish thou of follower of devils law perish of drug disappear utterly vanish and entirely perish in the north a of drug so that corporeal settlements of righteousness!,khordeh_avesta
31,may not?,khordeh_avesta
32,be fit to be destroyed homage be unto right thought and prosperity!,khordeh_avesta
33,translation: radar hormazd is the lord?,khordeh_avesta
34,of the entire universe and keeps the withholder and keeper at a distance of the wicked and powerless ahriman may that ahriman be smitten and defeated may all these ahriman dallas drugs sorcerers a wicked ones kids a karats tyrants sinners ashmoghs impious ones enemies witches be smitten and defeated may the wicked rulers cease to exist!,khordeh_avesta
35,may the enemies be confounded!,khordeh_avesta
36,may the enemies be non existent and perish.,khordeh_avesta
37,of lord hormazd!,khordeh_avesta
38,i am in renunciation of and desist from all sins wicked thoughts which in this world i have thought wicked words which i have spoken wicked deeds which i have committed and which have occurred through me and which have originated by me all these sins mentioned above relating to thought relating to word a and re53 rating to deed pertaining to my own body pertaining to my own a a a a a a a a soul pertaining to this world pertaining to the world beyond from all these sins of hormazd!,khordeh_avesta
39,i am in renunciation and keep myself away and with the three words ma nash ni gavashni kunashni i repent.,khordeh_avesta
40,may there be propitiation of ahura mazda!,khordeh_avesta
41,may there be contempt of angry many the evil spirit!,khordeh_avesta
42,whatever is the wish of the doers of righteous deeds is superior to all other wishes i praise righteousness.,khordeh_avesta
43,translation: of creator hormazd!,khordeh_avesta
44,do thou come!,khordeh_avesta
45,to my help.?,khordeh_avesta
46,i am a mazda worshipper i profess myself?,khordeh_avesta
47,to be a mazda worshipping follower of zarathustra a devotee?,khordeh_avesta
48,and an ardent believer!,khordeh_avesta
49,in this mazda worshipping faith.,khordeh_avesta
50,i praise?,khordeh_avesta
51,the true conceived thought i praise the truespoken!,khordeh_avesta
